ISLAND DIAMETER REPORT
Generated on: Wed Feb 18 20:36:09 2026
-------------------------------------------------------------------------------------
Island File                    | Size   | Diameter   | Furthest Pair
islands/island_18970.txt       | 14     | 5          | horoscopies <-> gyroscope
islands/island_21279.txt       | 14     | 4          | spiritualizers <-> spiritualism
islands/island_22064.txt       | 14     | 5          | quadripoles <-> quadrupeds
islands/island_24750.txt       | 14     | 5          | suspenders <-> suspends
islands/island_24814.txt       | 14     | 5          | obiism <-> obelizes
islands/island_26271.txt       | 14     | 6          | vaporizing <-> polonising
islands/island_33649.txt       | 14     | 6          | diebacks <-> tictoc
islands/island_36215.txt       | 14     | 8          | wellnesses <-> crudenesses
islands/island_79.txt          | 13     | 8          | maneuvers <-> maneuverers
islands/island_119.txt         | 13     | 5          | quadrantes <-> quadratics
islands/island_181.txt         | 13     | 6          | militar <-> milliaries
islands/island_408.txt         | 13     | 8          | sclerite <-> sclerotals
islands/island_859.txt         | 13     | 6          | inholdings <-> upholdings
islands/island_1640.txt        | 13     | 8          | photopsies <-> cratonic
islands/island_1783.txt        | 13     | 4          | authorizers <-> authorish
islands/island_2184.txt        | 13     | 6          | laterad <-> cleithral
islands/island_2240.txt        | 13     | 4          | filigree <-> villagrees
islands/island_2470.txt        | 13     | 6          | transudes <-> ransomers
islands/island_2911.txt        | 13     | 6          | jawlines <-> playlike
islands/island_3185.txt        | 13     | 6          | disulfid <-> disulfates
islands/island_3249.txt        | 13     | 8          | matterful <-> vatfuls
islands/island_3710.txt        | 13     | 4          | soliloquizers <-> soliloquist
islands/island_3821.txt        | 13     | 7          | skillfully <-> tinfuls
islands/island_3968.txt        | 13     | 4          | enrapt <-> upwraps
islands/island_3981.txt        | 13     | 6          | depositary <-> praepostor
islands/island_4406.txt        | 13     | 3          | denouncers <-> enounce
islands/island_4628.txt        | 13     | 3          | polymeride <-> polymerisms
islands/island_4699.txt        | 13     | 5          | geometrid <-> geometrist
islands/island_4720.txt        | 13     | 3          | signified <-> dignities
islands/island_4935.txt        | 13     | 4          | summarizers <-> summarist
islands/island_4990.txt        | 13     | 3          | unsheathed <-> ensheath
islands/island_5535.txt        | 13     | 5          | strobilates <-> strobic
islands/island_5643.txt        | 13     | 5          | secondees <-> fecund
islands/island_6663.txt        | 13     | 4          | naphthalised <-> naphthalic
islands/island_7917.txt        | 13     | 4          | psychoanalyst <-> psychoanalyzers
islands/island_7929.txt        | 13     | 4          | characterizers <-> characterism
islands/island_8226.txt        | 13     | 5          | paraphraxia <-> paraphrast
islands/island_9021.txt        | 13     | 5          | disjections <-> distension
islands/island_9190.txt        | 13     | 6          | phosphurets <-> phosphonic
islands/island_9418.txt        | 13     | 6          | outfittings <-> outjuttings
islands/island_10245.txt       | 13     | 4          | anatomizers <-> anatomist
islands/island_11365.txt       | 13     | 4          | metabolies <-> ametabolism
islands/island_11412.txt       | 13     | 5          | contentious <-> connection
islands/island_12896.txt       | 13     | 5          | phantasmal <-> phantasied
